 ,Area,Mean,Min,Max,X,Y,Slice
144,0,115,115,115,1006.500,319.500,4
145,0,115,115,115,1007.500,305.500,4
146,0,119,119,119,1007.500,281.500,4
147,0,108,108,108,1008.500,264.500,4
148,0,176,176,176,1008.500,238.500,4
149,0,109,109,109,1009.500,222.500,4
150,0,106,106,106,1010.500,194.500,4
151,0,95,95,95,1011.500,173.500,4
152,0,95,95,95,1012.500,145.500,4
153,0,88,88,88,1013.500,122.500,4
154,0,62,62,62,1014.500,97.500,4
155,0,34,34,34,1014.500,79.500,4
156,0,61,61,61,1015.500,53.500,4
157,0,68,68,68,1015.500,34.500,4
158,0,68,68,68,1016.500,21.500,4
159,0,196,196,196,1289.500,485.500,4
160,0,126,126,126,1291.500,471.500,4
161,0,120,120,120,1292.500,457.500,4
162,0,120,120,120,1293.500,437.500,4
163,0,176,176,176,1293.500,415.500,4
164,0,169,169,169,1293.500,398.500,4
165,0,117,117,117,1295.500,381.500,4
166,0,116,116,116,1296.500,363.500,4
167,0,114,114,114,1297.500,350.500,4
168,0,115,115,115,1297.500,336.500,4
169,0,115,115,115,1297.500,318.500,4
170,0,108,108,108,1298.500,303.500,4
171,0,108,108,108,1298.500,284.500,4
172,0,120,120,120,1298.500,260.500,4
173,0,108,108,108,1299.500,242.500,4
174,0,101,101,101,1300.500,214.500,4
175,0,101,101,101,1301.500,195.500,4
176,0,95,95,95,1301.500,171.500,4
177,0,95,95,95,1302.500,154.500,4
178,0,94,94,94,1302.500,130.500,4
179,0,81,81,81,1303.500,109.500,4
180,0,85,85,85,1304.500,81.500,4
181,0,61,61,61,1305.500,55.500,4
182,0,194,194,194,1304.500,37.500,4
183,0,211,211,211,1305.500,23.500,4
